Age,M,Len,Wt,Mat
0,0.707867,94.5558,6.83101,2.54208e-07
1,0.4718,138.118,25.922,0.00153257
2,0.4007,166.2,49.97,0.138836
3,0.3766,184.303,72.1659,0.588475
4,0.3669,195.974,89.7904,0.85369
5,0.3629,203.497,102.681,0.941603
6,0.3612,208.347,111.668,0.970641
7,0.3605,211.473,117.754,0.981806
8,0.3602,213.489,121.803,0.98681
9,0.36,214.788,124.465,0.989334
10,0.36,216.103,127.202,0.991441
