Yr,Age,F
1978,3,0.56756975
1979,3,0.519524
1980,3,0.3058795
1981,3,0.6251385
1982,3,0.74757575
1983,3,0.4689295
1984,3,0.537827
1985,3,0.581378
1986,3,0.6141805
1987,3,0.76226725
1988,3,0.94197175
1989,3,1.01432
1990,3,0.72048675
1991,3,0.62106575
1992,3,0.46199225
1993,3,0.54640025
1994,3,0.904845
1995,3,0.748684
1996,3,0.68184425
1997,3,0.65226675
1998,3,0.829965
1999,3,0.64809
2000,3,0.502865
2001,3,0.44590475
2002,3,0.47071
2003,3,0.66038025
2004,3,0.620926
2005,3,0.55394475
2006,3,0.5144305
2007,3,0.4547535
2008,3,0.494114
2009,3,0.456887
2010,3,0.52702125
2011,3,0.70668025
2012,3,0.8367425
2013,3,0.6618665
2014,3,0.89120175
2015,3,0.86619625
2016,3,0.6527725
2017,3,0.58755075
2018,3,0.702027
2019,3,0.81092925
2020,3,0.826262
2021,3,0.682683
2022,3,0.43594325
1952,4,0.00234424999999999
1953,4,0.0698825
1954,4,0.46874175
1955,4,0.26075525
1956,4,0.245833
1957,4,0.25814125
1958,4,0.48889775
1959,4,0.41105625
1960,4,0.3871415
1961,4,0.59503375
1962,4,0.51072175
1963,4,0.6045725
1964,4,0.351119
1965,4,0.44348725
1966,4,0.60127625
1967,4,0.3777205
1968,4,0.37069625
1969,4,0.421546
1970,4,1.05309875
1971,4,1.2072945
1972,4,1.06651
1973,4,1.0002805
1974,4,0.88658125
1975,4,0.55433025
1976,4,0.52636125
1977,4,0.331852
1978,4,0.59730775
1979,4,0.607117
1980,4,0.3588435
1981,4,0.6990285
1982,4,0.88772575
1983,4,0.56874375
1984,4,0.633579
1985,4,0.65385
1986,4,0.67388025
1987,4,0.850015
1988,4,1.1074475
1989,4,1.22337175
1990,4,0.84122575
1991,4,0.71240225
1992,4,0.50363425
1993,4,0.629056
1994,4,1.0350875
1995,4,0.9143775
1996,4,0.81888825
1997,4,0.764752
1998,4,0.9894125
1999,4,0.7236525
2000,4,0.548577
2001,4,0.47305625
2002,4,0.487114
2003,4,0.69122725
2004,4,0.63027975
2005,4,0.5861745
2006,4,0.54985525
2007,4,0.4974055
2008,4,0.534369
2009,4,0.46418425
2010,4,0.54433475
2011,4,0.73776075
2012,4,0.8642575
2013,4,0.7067095
2014,4,0.90716
2015,4,0.9259825
2016,4,0.73498725
2017,4,0.60665875
2018,4,0.7209995
2019,4,0.82855
2020,4,0.8296035
2021,4,0.7552575
2022,4,0.48200875
1952,5,0.003604
1953,5,0.07440125
1954,5,0.49283625
1955,5,0.26971
1956,5,0.25112925
1957,5,0.26916275
1958,5,0.50239925
1959,5,0.430309
1960,5,0.40608825
1961,5,0.616776
1962,5,0.5218475
1963,5,0.61513775
1964,5,0.3615415
1965,5,0.45023825
1966,5,0.62225125
1967,5,0.3688705
1968,5,0.373939
1969,5,0.44196025
1970,5,1.086519
1971,5,1.26277275
1972,5,1.14165075
1973,5,1.0646075
