Fleet,Length,Sel
20,14.5,1.15979e-09
1,15.5,1.3633e-09
2,15.5,1.31666e-09
3,15.5,1.31316e-09
4,15.5,1.31948e-09
5,15.5,1.31948e-09
6,15.5,1.32528e-09
7,15.5,1.31772e-09
8,15.5,1.31772e-09
9,15.5,1.31528e-09
10,15.5,1.61101e-13
11,15.5,1.3633e-09
12,15.5,1.31666e-09
13,15.5,1.31316e-09
14,15.5,1.31948e-09
15,15.5,1.31666e-09
16,15.5,1.31378e-09
17,15.5,2.42382e-09
18,15.5,5.82127e-05
19,15.5,1.32968e-09
20,15.5,1.32528e-09
1,16.5,1.54488e-09
2,16.5,1.49204e-09
3,16.5,1.48806e-09
4,16.5,1.49523e-09
5,16.5,1.49523e-09
6,16.5,1.5018e-09
7,16.5,1.49323e-09
8,16.5,1.49323e-09
9,16.5,1.49047e-09
10,16.5,1.88188e-13
11,16.5,1.54488e-09
12,16.5,1.49204e-09
13,16.5,1.48806e-09
14,16.5,1.49523e-09
15,16.5,1.49204e-09
16,16.5,1.48877e-09
17,16.5,2.74666e-09
18,16.5,6.59663e-05
19,16.5,1.50679e-09
20,16.5,1.5018e-09
1,17.5,1.73782e-09
2,17.5,1.67837e-09
3,17.5,1.6739e-09
4,17.5,1.68196e-09
5,17.5,1.68196e-09
6,17.5,1.68936e-09
7,17.5,1.67972e-09
8,17.5,1.67972e-09
9,17.5,1.67661e-09
10,17.5,2.19829e-13
11,17.5,1.73782e-09
12,17.5,1.67837e-09
13,17.5,1.6739e-09
14,17.5,1.68196e-09
15,17.5,1.67837e-09
16,17.5,1.67469e-09
17,17.5,3.08967e-09
18,17.5,7.42045e-05
19,17.5,1.69497e-09
20,17.5,1.68936e-09
1,18.5,1.9421e-09
2,18.5,1.87566e-09
3,18.5,1.87067e-09
4,18.5,1.87968e-09
5,18.5,1.87968e-09
6,18.5,1.88794e-09
7,18.5,1.87717e-09
8,18.5,1.87717e-09
9,18.5,1.8737e-09
10,18.5,2.56791e-13
11,18.5,1.9421e-09
12,18.5,1.87566e-09
13,18.5,1.87067e-09
14,18.5,1.87968e-09
15,18.5,1.87566e-09
16,18.5,1.87156e-09
17,18.5,3.45287e-09
18,18.5,8.29273e-05
19,18.5,1.89421e-09
20,18.5,1.88794e-09
1,19.5,2.15773e-09
2,19.5,2.08392e-09
3,19.5,2.07837e-09
4,19.5,2.08838e-09
5,19.5,2.08838e-09
6,19.5,2.09756e-09
7,19.5,2.08559e-09
8,19.5,2.08559e-09
9,19.5,2.08174e-09
10,19.5,2.99967e-13
11,19.5,2.15773e-09
12,19.5,2.08392e-09
13,19.5,2.07837e-09
14,19.5,2.08838e-09
15,19.5,2.08392e-09
16,19.5,2.07936e-09
17,19.5,3.83624e-09
18,19.5,9.21347e-05
19,19.5,2.10453e-09
20,19.5,2.09756e-09
1,20.5,2.38471e-09
2,20.5,2.30313e-09
3,20.5,2.297e-09
4,20.5,2.30806e-09
5,20.5,2.30806e-09
6,20.5,2.31821e-09
7,20.5,2.30498e-09
8,20.5,2.30498e-09
9,20.5,2.30072e-09
10,20.5,3.50402e-13
11,20.5,2.38471e-09
12,20.5,2.30313e-09
13,20.5,2.297e-09
14,20.5,2.30806e-09
15,20.5,2.30313e-09
16,20.5,2.29809e-09
17,20.5,4.23979e-09
18,20.5,0.000101827
19,20.5,2.32591e-09
20,20.5,2.31821e-09
1,21.5,2.40461e-09
2,21.5,2.30456e-09
3,21.5,2.29836e-09
4,21.5,2.30956e-09
5,21.5,2.30956e-09
6,21.5,2.31982e-09
7,21.5,2.30643e-09
8,21.5,2.30643e-09
9,21.5,2.30212e-09
10,21.5,4.09318e-13
11,21.5,2.40461e-09
12,21.5,2.30456e-09
13,21.5,2.29836e-09
14,21.5,2.30956e-09
15,21.5,2.30456e-09
16,21.5,2.29946e-09
17,21.5,4.74149e-09
18,21.5,0.000111631
19,21.5,2.32762e-09
20,21.5,2.31982e-09
1,22.5,2.43051e-09
2,22.5,2.30601e-09
3,22.5,2.29973e-09
4,22.5,2.31107e-09
5,22.5,2.31107e-09
6,22.5,2.32145e-09
7,22.5,2.3079e-09
8,22.5,2.3079e-09
9,22.5,2.30354e-09
10,22.5,4.7814e-13
11,22.5,2.43051e-09
12,22.5,2.30601e-09
13,22.5,2.29973e-09
14,22.5,2.31107e-09
15,22.5,2.30601e-09
16,22.5,2.30084e-09
17,22.5,5.36888e-09
18,22.5,0.000122323
19,22.5,2.32935e-09
20,22.5,2.32145e-09
1,23.5,2.46432e-09
2,23.5,2.30747e-09
3,23.5,2.30111e-09
4,23.5,2.31261e-09
5,23.5,2.31261e-09
6,23.5,2.3231e-09
7,23.5,2.30938e-09
8,23.5,2.30938e-09
9,23.5,2.30497e-09
10,23.5,5.58534e-13
11,23.5,2.46432e-09
12,23.5,2.30747e-09
13,23.5,2.30111e-09
14,23.5,2.31261e-09
15,23.5,2.30747e-09
16,23.5,2.30224e-09
17,23.5,6.15245e-09
18,23.5,0.000133976
19,23.5,2.33111e-09
20,23.5,2.3231e-09
1,24.5,2.50855e-09
2,24.5,2.30895e-09
3,24.5,2.30252e-09
4,24.5,2.31418e-09
5,24.5,2.31418e-09
6,24.5,2.32478e-09
7,24.5,2.31088e-09
8,24.5,2.31088e-09
9,24.5,2.30642e-09
10,24.5,6.52444e-13
11,24.5,2.50855e-09
12,24.5,2.30895e-09
13,24.5,2.30252e-09
14,24.5,2.31418e-09
15,24.5,2.30895e-09
16,24.5,2.30366e-09
17,24.5,7.12983e-09
18,24.5,0.000146673
19,24.5,2.33288e-09
20,24.5,2.32478e-09
1,25.5,2.56646e-09
2,25.5,2.31044e-09
3,25.5,2.30394e-09
4,25.5,2.31577e-09
5,25.5,2.31577e-09
6,25.5,2.32647e-09
7,25.5,2.3124e-09
8,25.5,2.3124e-09
9,25.5,2.30788e-09
10,25.5,7.62145e-13
11,25.5,2.56646e-09
12,25.5,2.31044e-09
13,25.5,2.30394e-09
14,25.5,2.31577e-09
15,25.5,2.31044e-09
16,25.5,2.30509e-09
17,25.5,8.34739e-09
18,25.5,0.000160498
19,25.5,2.33468e-09
20,25.5,2.32647e-09
