Yr,Age,N
1952,0,335.965
1953,0,195.621
1954,0,164.827
1955,0,157.724
1956,0,152.356
1957,0,214.597
1958,0,284.022
1959,0,155.604
1960,0,265.634
1961,0,151.352
1962,0,129.427
1963,0,162.692
1964,0,134.724
1965,0,106.349
1966,0,79.6689
1967,0,70.5262
1968,0,125.774
1969,0,153.834
1970,0,164.798
1971,0,151.811
1972,0,56.9425
1973,0,234.849
1974,0,58.9226
1975,0,52.9058
1976,0,163.587
1977,0,113.892
1978,0,213.643
1979,0,115.203
1980,0,193.178
1981,0,55.5852
1982,0,163.842
1983,0,82.3708
1984,0,94.3815
1985,0,31.8555
1986,0,78.701
1987,0,246.154
1988,0,81.9425
1989,0,83.1376
1990,0,100.876
1991,0,117.476
1992,0,145.504
1993,0,160.433
1994,0,126.822
1995,0,95.0317
1996,0,272.317
1997,0,168.829
1998,0,231.036
1999,0,197.522
2000,0,64.639
2001,0,260.747
2002,0,130.4
2003,0,118.578
2004,0,116.704
2005,0,97.0597
2006,0,196.079
2007,0,99.0098
2008,0,99.479
2009,0,100.273
2010,0,102.811
2011,0,71.7786
2012,0,84.098
2013,0,120.064
2014,0,87.1532
2015,0,93.4101
2016,0,79.2436
2017,0,84.2975
2018,0,52.7728
2019,0,109.625
2020,0,180.982
2021,0,148.709
2022,0,103.196
1952,1,139.898
1953,1,180.85
1954,1,105.298
1955,1,88.6801
1956,1,84.7889
1957,1,81.8915
1958,1,115.358
1959,1,152.328
1960,1,83.6342
1961,1,142.744
1962,1,81.0286
1963,1,69.413
1964,1,87.1241
1965,1,72.3674
1966,1,57.0326
1967,1,42.7439
1968,1,37.7535
1969,1,67.5021
1970,1,82.5418
1971,1,87.8808
1972,1,81.3862
1973,1,30.5374
1974,1,126.046
1975,1,31.5845
1976,1,28.174
1977,1,87.0425
1978,1,60.9805
1979,1,112.873
1980,1,61.462
1981,1,103.541
1982,1,29.6313
1983,1,87.6664
1984,1,43.9527
1985,1,50.4265
1986,1,16.9625
1987,1,41.6596
1988,1,130.546
1989,1,43.4632
1990,1,44.2287
1991,1,53.7594
1992,1,62.6244
1993,1,76.8456
1994,1,85.3303
1995,1,67.2129
1996,1,50.5052
1997,1,145.08
1998,1,89.8711
1999,1,123.283
2000,1,104.957
2001,1,34.5965
2002,1,139.36
2003,1,69.3482
2004,1,63.1494
2005,1,61.7506
2006,1,51.5134
2007,1,104.035
2008,1,52.6604
2009,1,52.8788
2010,1,52.8053
2011,1,54.2875
2012,1,37.7736
2013,1,44.035
2014,1,63.3095
2015,1,45.4005
2016,1,48.9751
2017,1,41.9058
2018,1,44.7778
2019,1,27.5493
2020,1,57.8346
2021,1,95.7891
2022,1,79.0007
1952,2,68.2516
1953,2,89.6358
1954,2,115.271
1955,2,65.2471
1956,2,55.3156
1957,2,52.7318
1958,2,51.1302
1959,2,69.7046
1960,2,94.5711
1961,2,51.9522
1962,2,85.0292
1963,2,48.8436
1964,2,41.1077
1965,2,53.7127
1966,2,43.6283
1967,2,34.3829
1968,2,25.5648
1969,2,23.0547
1970,2,41.4157
1971,2,46.7506
1972,2,50.6666
1973,2,48.4921
1974,2,18.2378
1975,2,75.2658
1976,2,18.5813
1977,2,16.2717
1978,2,52.6057
1979,2,33.3382
1980,2,66.2733
1981,2,37.3599
1982,2,59.1909
1983,2,17.283
1984,2,52.0488
1985,2,25.9098
1986,2,28.9645
1987,2,9.39176
1988,2,22.8421
1989,2,72.2912
1990,2,24.3549
1991,2,25.2341
1992,2,30.8814
1993,2,35.0809
1994,2,44.243
1995,2,46.486
1996,2,38.2526
1997,2,29.0167
1998,2,83.3306
1999,2,51.2824
2000,2,69.3565
2001,2,61.5272
2002,2,20.2123
2003,2,79.1641
2004,2,38.8861
2005,2,34.2486
2006,2,34.4385
2007,2,28.9758
2008,2,59.7826
2009,2,29.9528
2010,2,28.764
2011,2,28.6888
2012,2,28.4042
2013,2,18.8786
2014,2,23.2957
2015,2,30.3302
2016,2,22.9019
2017,2,26.6689
2018,2,22.9873
2019,2,22.7326
2020,2,14.2363
2021,2,29.9485
2022,2,52.9024
1952,3,47.4597
1953,3,46.1251
1954,3,58.5905
1955,3,62.4545
1956,3,38.6663
1957,3,32.7208
1958,3,31.2653
1959,3,26.5874
1960,3,38.9771
1961,3,53.4535
1962,3,25.7817
1963,3,43.7945
1964,3,23.6893
1965,3,23.2956
1966,3,28.4781
1967,3,22.0112
1968,3,18.4476
1969,3,14.2096
1970,3,12.8525
1971,3,16.4764
1972,3,18.3288
1973,3,22.5348
1974,3,21.6785
1975,3,8.63066
1976,3,38.933
1977,3,9.41565
1978,3,9.14308
1979,3,23.6984
1980,3,16.5352
1981,3,37.1557
1982,3,17.0081
1983,3,26.3382
1984,3,8.96497
1985,3,25.7757
1986,3,12.1829
1987,3,12.9768
1988,3,3.88143
1989,3,8.97238
1990,3,27.7719
1991,3,10.6873
1992,3,11.6455
1993,3,15.1061
1994,3,16.9688
1995,3,17.3362
1996,3,20.6919
1997,3,17.5932
1998,3,13.3765
1999,3,35.4685
2000,3,23.0081
2001,3,33.9303
2002,3,30.7116
2003,3,9.75886
2004,3,34.3122
2005,3,16.6995
2006,3,15.6571
2007,3,16.3111
2008,3,14.3757
2009,3,28.8469
2010,3,14.1449
2011,3,13.0999
2012,3,11.6078
2013,3,10.3295
2014,3,7.88144
2015,3,7.90268
2016,3,10.9843
2017,3,9.91394
2018,3,11.6868
2019,3,9.05131
2020,3,8.46537
2021,3,5.23345
2022,3,12.8611
1952,4,105.608
1953,4,32.6541
1954,4,29.9523
1955,4,27.134
1956,4,34.3171
1957,4,21.4104
1958,4,18.0344
1959,4,13.9931
1960,4,12.9402
1961,4,19.3621
1962,4,21.9496
1963,4,11.3104
1964,4,17.6081
1965,4,12.0394
1966,4,10.8104
1967,4,11.7088
1968,4,10.653
1969,4,9.15093
1970,4,6.88783
1971,4,3.56629
1972,4,4.1467
1973,4,5.40184
1974,4,6.90905
1975,4,7.33961
1976,4,3.74497
1977,4,16.9482
1978,4,4.84216
1979,4,3.56964
1980,4,9.70773
1981,4,8.38671
1982,4,13.6948
1983,4,5.54639
1984,4,11.349
1985,4,3.60577
1986,4,9.92534
1987,4,4.53984
1988,4,4.17006
1989,4,1.04213
1990,4,2.24089
1991,4,9.30521
1992,4,3.95517
1993,4,5.05289
1994,4,6.02393
1995,4,4.72833
1996,4,5.64716
1997,4,7.20616
1998,4,6.31091
1999,4,4.01714
2000,4,12.7763
2001,4,9.58327
2002,4,14.9609
2003,4,13.2099
2004,4,3.47236
2005,4,12.7001
2006,4,6.60926
2007,4,6.44646
2008,4,7.12872
2009,4,6.04036
2010,4,12.5806
2011,4,5.75097
2012,4,4.45025
2013,4,3.46243
2014,4,3.66995
2015,4,2.22631
2016,4,2.28884
2017,4,3.93821
2018,4,3.79403
2019,4,3.98872
2020,4,2.77047
2021,4,2.5517
2022,4,1.82107
1952,5,36.139
1953,5,73.1121
1954,5,21.1299
1955,5,13.0067
1956,5,14.507
1957,5,18.6233
1958,5,11.4769
1959,5,7.67511
1960,5,6.43729
1961,5,6.09701
1962,5,7.41041
1963,5,9.13971
1964,5,4.28769
1965,5,8.60069
1966,5,5.36179
1967,5,4.11169
1968,5,5.56905
1969,5,5.1026
1970,5,4.16581
1971,5,1.66739
1972,5,0.739954
1973,5,0.990446
1974,5,1.37859
1975,5,1.97556
1976,5,2.92576
1977,5,1.53519
1978,5,8.43938
1979,5,1.84902
1980,5,1.34979
1981,5,4.70525
1982,5,2.89278
1983,5,3.91136
1984,5,2.1793
1985,5,4.17933
1986,5,1.3012
1987,5,3.51069
1988,5,1.34646
1989,5,0.956076
1990,5,0.212778
1991,5,0.670485
1992,5,3.16696
1993,5,1.65863
1994,5,1.86919
1995,5,1.48476
1996,5,1.31494
1997,5,1.72783
1998,5,2.32747
1999,5,1.62819
2000,5,1.35191
2001,5,5.12238
2002,5,4.14359
2003,5,6.37846
2004,5,4.59211
2005,5,1.28294
2006,5,4.90394
2007,5,2.64644
2008,5,2.72026
2009,5,2.89899
2010,5,2.63499
2011,5,5.06532
2012,5,1.90829
2013,5,1.30122
2014,5,1.18514
2015,5,1.028
2016,5,0.61199
2017,5,0.761592
2018,5,1.48984
2019,5,1.28022
2020,5,1.20867
2021,5,0.838629
2022,5,0.83202
1952,6,17.1481
1953,6,25.0659
1954,6,47.2442
1955,6,8.98531
1956,6,6.9136
1957,6,7.85571
1958,6,9.90448
1959,6,4.83398
1960,6,3.47436
1961,6,2.98547
1962,6,2.29048
1963,6,3.06111
1964,6,3.43916
1965,6,2.07912
1966,6,3.81653
1967,6,2.00328
1968,6,1.97922
1969,6,2.66718
1970,6,2.28308
1971,6,0.978366
1972,6,0.328316
1973,6,0.164461
1974,6,0.237766
1975,6,0.373044
1976,6,0.767765
1977,6,1.18857
1978,6,0.760956
1979,6,3.28378
1980,6,0.683797
1981,6,0.643516
1982,6,1.61413
1983,6,0.796998
1984,6,1.48875
1985,6,0.78394
1986,6,1.49954
1987,6,0.461258
1988,6,1.03479
1989,6,0.296644
1990,6,0.181402
1991,6,0.0615002
1992,6,0.223729
1993,6,1.32973
1994,6,0.605243
1995,6,0.454439
1996,6,0.389841
1997,6,0.387827
1998,6,0.544042
1999,6,0.577681
2000,6,0.549092
2001,6,0.547541
2002,6,2.24716
2003,6,1.80828
2004,6,2.28757
2005,6,1.76415
2006,6,0.50259
2007,6,1.99026
2008,6,1.11681
2009,6,1.11406
2010,6,1.29174
2011,6,1.08535
2012,6,1.72645
2013,6,0.577613
2014,6,0.448214
2015,6,0.343697
2016,6,0.28403
2017,6,0.198667
2018,6,0.293802
2019,6,0.514213
2020,6,0.402858
2021,6,0.385383
2022,6,0.271798
1952,7,10.2157
1953,7,11.8996
1954,7,16.186
1955,7,19.9454
1956,7,4.77335
1957,7,3.74839
1958,7,4.16852
1959,7,4.16826
1960,7,2.17862
1961,7,1.60371
1962,7,1.11677
1963,7,0.947597
1964,7,1.15553
1965,7,1.66834
1966,7,0.925944
1967,7,1.42288
1968,7,0.976528
1969,7,0.953367
1970,7,1.18937
1971,7,0.53496
1972,7,0.190842
1973,7,0.0713222
1974,7,0.0387359
1975,7,0.0633334
1976,7,0.144144
1977,7,0.313062
1978,7,0.590205
1979,7,0.301896
1980,7,1.20814
1981,7,0.323917
1982,7,0.222155
1983,7,0.441371
1984,7,0.300163
1985,7,0.533155
1986,7,0.282993
1987,7,0.537379
1988,7,0.137187
1989,7,0.226676
1990,7,0.0547445
1991,7,0.0519136
1992,7,0.0204677
1993,7,0.0945832
1994,7,0.486146
1995,7,0.148638
1996,7,0.11696
1997,7,0.114194
1998,7,0.121871
1999,7,0.13433
2000,7,0.197842
2001,7,0.226023
2002,7,0.244071
2003,7,1.00233
2004,7,0.668177
2005,7,0.90881
2006,7,0.702721
2007,7,0.207495
2008,7,0.845076
2009,7,0.462788
2010,7,0.505635
2011,7,0.543769
2012,7,0.380293
2013,7,0.540129
2014,7,0.201418
2015,7,0.134032
2016,7,0.0962356
2017,7,0.0914833
2018,7,0.0780015
2019,7,0.103554
2020,7,0.167163
2021,7,0.133917
2022,7,0.125652
1952,8,6.6912
1953,8,7.08926
1954,8,7.68072
1955,8,6.81418
1956,8,10.5998
1957,8,2.59136
1958,8,1.98763
1959,8,1.75587
1960,8,1.87627
1961,8,1.00407
1962,8,0.599523
1963,8,0.463172
1964,8,0.359084
1965,8,0.561369
1966,8,0.745697
1967,8,0.34556
1968,8,0.699598
1969,8,0.472649
1970,8,0.42513
1971,8,0.279532
1972,8,0.104452
1973,8,0.0411513
1974,8,0.0166975
1975,8,0.0102755
1976,8,0.0244592
1977,8,0.0590635
1978,8,0.155814
1979,8,0.237322
1980,8,0.110986
1981,8,0.570696
1982,8,0.112514
1983,8,0.0607103
1984,8,0.165605
1985,8,0.107505
1986,8,0.193639
1987,8,0.102325
1988,8,0.161261
1989,8,0.03011
1990,8,0.0413492
1991,8,0.0156243
1992,8,0.0172945
1993,8,0.00870163
