Fleet,Fleet_name,Yr,Obs,Exp,SE
20,S03_INDEX.AU,2005,0.90204,1.15295,0.346179
20,S03_INDEX.AU,2006,0.939615,1.0664,0.346164
20,S03_INDEX.AU,2007,0.973792,1.2131,0.351918
20,S03_INDEX.AU,2008,1.04839,1.4017,0.354004
20,S03_INDEX.AU,2009,0.910107,1.21903,0.350074
20,S03_INDEX.AU,2010,0.873976,1.01434,0.351499
20,S03_INDEX.AU,2011,1.13876,0.839368,0.355625
20,S03_INDEX.AU,2012,0.873735,0.660262,0.350821
20,S03_INDEX.AU,2013,0.858367,0.58093,0.351904
20,S03_INDEX.AU,2014,0.981718,0.585648,0.352943
20,S03_INDEX.AU,2015,1.13393,0.617675,0.361507
20,S03_INDEX.AU,2016,0.9752,0.642707,0.355536
20,S03_INDEX.AU,2017,1.05351,0.684169,0.353501
20,S03_INDEX.AU,2018,0.990566,0.664782,0.355671
20,S03_INDEX.AU,2019,0.894308,0.525759,0.348183
20,S03_INDEX.AU,2020,0.804674,0.486361,0.350661
20,S03_INDEX.AU,2021,0.878416,0.799508,0.35679
20,S03_INDEX.AU,2022,1.20884,1.293,0.368147
