id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Bin,Obs
01-Diagnostic_1F,1,F01_LL.JP.1,2018.375,yes,LEN,1,190,0.0741853
01-Diagnostic_1F,1,F01_LL.JP.1,2018.375,yes,LEN,1,195,9.98403e-05
01-Diagnostic_1F,1,F01_LL.JP.1,2018.375,yes,LEN,1,200,9.98403e-05
01-Diagnostic_1F,1,F01_LL.JP.1,2018.375,yes,LEN,1,205,0.0741853
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,110,0.0204067
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,115,0.0392459
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,120,0.0316693
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,125,0.0169026
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,130,0.00291535
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,135,9.97506e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,140,0.00845573
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,145,0.00845573
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,150,0.0251677
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,155,0.00291535
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,160,0.0287627
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,165,0.0336146
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,170,0.0356802
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,175,0.0524831
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,180,0.111065
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,185,0.110527
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,190,0.171117
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,195,0.0908497
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,200,0.0853093
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,205,0.0428409
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,210,0.0252586
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,215,0.0252586
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,220,0.014087
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,225,9.97506e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1991.375,yes,LEN,1,230,0.0168117
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,115,0.0185512
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,120,9.97805e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,125,0.0191625
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,130,0.0191625
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,135,0.000710898
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,140,0.000405437
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,145,9.97805e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,150,9.97805e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,155,0.000405437
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,160,0.0280826
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,165,0.0468396
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,170,0.0867984
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,175,0.0984688
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,180,0.0966353
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,185,0.135372
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,190,0.155657
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,195,0.0652325
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,200,0.110139
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,205,0.0532567
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,210,0.0225238
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,215,0.00346102
01-Diagnostic_1F,2,F02_LL.JP.2,1991.5,yes,LEN,1,220,0.0388364
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,120,0.0529597
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,125,0.0552495
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,130,0.0344465
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,135,0.0275772
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,140,0.018418
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,145,0.00925892
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,150,0.0207079
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,155,0.00238956
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,160,0.018418
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,165,0.0552495
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,170,0.0367363
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,175,0.0712779
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,180,0.0710831
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,185,0.112689
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,190,0.165354
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,195,0.117268
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,200,0.0596341
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,205,0.0321568
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,210,0.0229976
01-Diagnostic_1F,2,F02_LL.JP.2,1992.375,yes,LEN,1,215,0.0161283
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,95,0.017598
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,100,9.97407e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,105,9.97407e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,110,9.97407e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,115,0.017598
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,120,9.97407e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,125,9.97407e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,130,9.97407e-05
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,135,0.017598
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,140,0.017598
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,145,0.017598
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,150,0.0350963
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,155,0.0350963
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,160,0.017598
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,165,0.0525946
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,170,0.0350963
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,175,0.0350963
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,180,0.227579
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,185,0.140087
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,190,0.140087
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,195,0.0700936
01-Diagnostic_1F,2,F02_LL.JP.2,1993.375,yes,LEN,1,200,0.0700936
