id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
01-Diagnostic_1F,F_fleet_15_YR_1977_s_4,0.346786,0.091066,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1978_s_1,0.327508,0.0515293,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1978_s_2,0.0106686,0.00162802,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1978_s_3,0.0848219,0.0219614,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1978_s_4,0.554487,0.141135,5,0,10,0.05,act,OK
01-Diagnostic_1F,Size_DblN_peak_F01_LL.JP.1(1),181.871,11.04,2,45,325,182.304,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F01_LL.JP.1(1),7.0039,0.499096,4,-10,10,7.01552,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F01_LL.JP.1(1),6.54634,1.26982,5,-10,10,6.51614,OK,OK
01-Diagnostic_1F,Size_DblN_end_logit_F01_LL.JP.1(1),-494.994,11269.8,3,-999,9,-494.967,OK,OK
01-Diagnostic_1F,Size_DblN_peak_F02_LL.JP.2(2),199.672,1.29911,2,45,325,199.747,OK,OK
01-Diagnostic_1F,Size_DblN_top_logit_F02_LL.JP.2(2),-0.62542,0.287531,3,-10,10,-0.627069,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F02_LL.JP.2(2),5.78248,0.0867752,4,-10,10,5.78528,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F02_LL.JP.2(2),-1.108,116.261,5,-10,10,-1.07288,OK,OK
01-Diagnostic_1F,Size_DblN_peak_F03_LL.JP.3(3),204.107,2.4975,2,45,325,204.168,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F03_LL.JP.3(3),6.2635,0.134877,4,-10,10,6.26526,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F03_LL.JP.3(3),9.98127,0.58887,5,-10,10,9.98124,HI,OK
01-Diagnostic_1F,Size_DblN_end_logit_F03_LL.JP.3(3),-495,11269.8,3,-999,9,-495,NO_MOVE,OK
01-Diagnostic_1F,Size_DblN_peak_F04_LL.JP.4(4),196.283,7.64092,2,45,325,196.393,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F04_LL.JP.4(4),6.88732,0.342931,4,-10,10,6.89461,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F04_LL.JP.4(4),4.54751,1.62419,5,-10,10,4.53918,OK,OK
01-Diagnostic_1F,Size_DblN_end_logit_F04_LL.JP.4(4),-495,11269.8,3,-999,9,-495,NO_MOVE,OK
01-Diagnostic_1F,Size_DblN_peak_F06_LL.AU.2(6),189.67,1.17022,2,45,325,189.581,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F06_LL.AU.2(6),5.63657,0.0943998,4,-10,10,5.63547,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F06_LL.AU.2(6),4.82764,0.625806,5,-10,10,4.86317,OK,OK
01-Diagnostic_1F,Size_DblN_end_logit_F06_LL.AU.2(6),0.524472,0.409104,3,-999,9,0.45815,HI,OK
01-Diagnostic_1F,Size_DblN_peak_F07_LL.AU.3(7),198.38,1.91171,2,45,325,198.246,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F07_LL.AU.3(7),6.09456,0.11669,4,-10,10,6.09357,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F07_LL.AU.3(7),5.97328,0.453752,5,-10,10,5.96087,OK,OK
01-Diagnostic_1F,Size_DblN_end_logit_F07_LL.AU.3(7),-495,11269.8,3,-999,9,-495,NO_MOVE,OK
01-Diagnostic_1F,Size_DblN_peak_F09.REC.AU.3(9),201.389,2.40971,2,45,325,201.321,OK,OK
01-Diagnostic_1F,Size_DblN_top_logit_F09.REC.AU.3(9),0.00522101,186.831,3,-10,10,0.00592117,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F09.REC.AU.3(9),5.54294,0.194337,4,-10,10,5.54073,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F09.REC.AU.3(9),6.99463e-05,223.606,5,-10,10,6.04255e-05,OK,OK
01-Diagnostic_1F,Size_inflection_F10_REC.NZ.3(10),205.041,1.06365,2,45,325,205.04,OK,OK
01-Diagnostic_1F,Size_95%width_F10_REC.NZ.3(10),18.9462,0.662466,3,0,500,18.9442,OK,OK
01-Diagnostic_1F,Size_DblN_peak_F16_LL.NC.2(16),203.302,8.90076,2,45,325,202.803,OK,OK
01-Diagnostic_1F,Size_DblN_top_logit_F16_LL.NC.2(16),0.223045,60.2157,3,-10,10,0.230727,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F16_LL.NC.2(16),6.68653,0.404901,4,-10,10,6.67457,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F16_LL.NC.2(16),0.00237265,223.741,5,-10,10,0.00269738,OK,OK
01-Diagnostic_1F,Size_DblN_peak_F17_LL.PF.4(17),194.022,23.7461,2,45,325,193.49,OK,OK
01-Diagnostic_1F,Size_DblN_top_logit_F17_LL.PF.4(17),0.142329,60.4684,3,-10,10,0.16735,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_F17_LL.PF.4(17),7.31355,0.839837,4,-10,10,7.30872,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_F17_LL.PF.4(17),0.00196589,223.692,5,-10,10,0.00142847,OK,OK
01-Diagnostic_1F,Size_DblN_peak_S01_INDEX.1-4(18),219.988,92.2385,2,45,325,199.301,OK,OK
01-Diagnostic_1F,Size_DblN_top_logit_S01_INDEX.1-4(18),-2.94724,16.6441,3,-10,10,-8.57102,OK,OK
01-Diagnostic_1F,Size_DblN_ascend_se_S01_INDEX.1-4(18),8.37314,1.72711,4,-10,10,7.72842,OK,OK
01-Diagnostic_1F,Size_DblN_descend_se_S01_INDEX.1-4(18),-7.97218,52.8805,5,-10,10,-5.49315,OK,OK
01-Diagnostic_1F,Size_DblN_peak_S02_INDEX.NZ(19),185,3130.49,2,45,325,185,NO_MOVE,OK
01-Diagnostic_1F,Size_DblN_ascend_se_S02_INDEX.NZ(19),6.11265e-09,223.603,4,-10,10,3.27106e-08,OK,OK
