
Initial statistics: 71 variables; iteration 0; function evaluation 0; phase 1
Function value 6.1812102e+07; maximum gradient component mag -1.8443e+09
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.44629 -1.84428e+09 |  2  0.00000 -4.64691e+07 |  3  0.00000 -6.10844e+07
  4  0.00000 -7.26817e+07 |  5  0.00000 -7.80153e+07 |  6  0.00000 -9.01692e+07
  7  0.00000 -1.02902e+08 |  8  0.00000 -1.12231e+08 |  9  0.00000 -1.16274e+08
 10  0.00000 -1.17777e+08 | 11  0.00000 -1.10744e+08 | 12  0.00000 -7.77952e+07
 13  0.00000 -4.77489e+07 | 14  0.00000 -2.96351e+07 | 15  0.00000 -2.81573e+07
 16  0.00000 -1.30339e+07 | 17  0.00000  1.20328e+06 | 18  0.00000 -3.59937e+04
 19  0.00000  2.12842e+06 | 20  0.00000  2.62659e+06 | 21  0.00000  1.08227e+07
 22  0.00000  1.44961e+07 | 23  0.00000  1.51663e+07 | 24  0.00000  1.93570e+07
 25  0.00000  2.15313e+07 | 26  0.00000  2.21985e+07 | 27  0.00000  2.21842e+07
 28  0.00000  2.21624e+07 | 29  0.00000  2.21180e+07 | 30  0.00000  2.21162e+07
 31  0.00000  2.21969e+07 | 32  0.00000  2.20757e+07 | 33  0.00000  2.21362e+07
 34  0.00000  2.21633e+07 | 35  0.00000  2.21929e+07 | 36  0.00000  2.20628e+07
 37  0.00000  2.21839e+07 | 38  0.00000  2.21841e+07 | 39  0.00000  2.21551e+07
 40  0.00000  2.21215e+07 | 41  0.00000  2.21174e+07 | 42  0.00000  2.20850e+07
 43  0.00000  2.21088e+07 | 44  0.00000  2.22114e+07 | 45  0.00000  2.21837e+07
 46  0.00000  2.21860e+07 | 47  0.00000  2.21859e+07 | 48  0.00000  2.21558e+07
 49  0.00000  2.21791e+07 | 50  0.00000  2.20653e+07 | 51  0.00000  2.20711e+07
 52  0.00000  2.21609e+07 | 53  0.00000  2.21767e+07 | 54  0.00000  2.21141e+07
 55  0.00000  2.21316e+07 | 56  0.00000  2.20292e+07 | 57  0.00000  2.21265e+07
 58  0.00000  2.21499e+07 | 59  0.00000  2.20608e+07 | 60  0.00000  2.20966e+07
 61  0.00000  2.21377e+07 | 62  0.00000  2.20842e+07 | 63  0.00000  2.20744e+07
 64  0.00000  2.20801e+07 | 65  0.00000  2.20281e+07 | 66  0.00000  2.20529e+07
 67  0.00000  2.20776e+07 | 68  0.00000  2.20287e+07 | 69  0.00000  2.20287e+07
 70  0.00000  2.19574e+07 | 71  0.00000  2.20249e+07 |

Intermediate statistics: 71 variables; iteration 20; function evaluation 60; phase 1
Function value 2.2489164e+03; maximum gradient component mag 1.3886e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.43650  1.38864e+04 |  2  0.19577 -6.78831e+01 |  3 -0.69460 -1.16836e+02
  4 -0.04155 -1.26116e+02 |  5  0.22610  3.79109e+02 |  6  0.15888  1.80488e+02
  7  0.07468  5.21729e+00 |  8  0.04246 -1.84496e+01 |  9 -0.04946 -7.22739e+01
 10 -0.07485 -7.26200e+01 | 11  0.00928  9.00788e+01 | 12 -0.19857 -1.27807e+02
 13 -0.03325  7.74077e+01 | 14  0.05501  4.25040e+02 | 15  0.00727  2.65517e+02
 16 -0.00798  2.58839e+02 | 17  0.07211  7.60483e+02 | 18  0.11676  9.21522e+02
 19  0.09424  1.23995e+02 | 20  0.10445  3.21004e+01 | 21  0.11363  2.66377e+02
 22  0.06099  1.95311e+02 | 23  0.06671  2.41680e+02 | 24 -0.13931 -6.44711e+01
 25  0.01080  2.51142e+02 | 26 -0.10135 -5.55917e+01 | 27 -0.06408 -7.18040e+01
 28  0.04063 -1.52980e+02 | 29 -0.09547 -1.86826e+02 | 30  0.04749 -2.05326e+02
 31 -0.22677 -1.82922e+02 | 32  0.03410 -5.45491e+01 | 33 -0.01939 -2.68516e+01
 34 -0.00911 -3.15857e+01 | 35 -0.08731 -6.59315e+01 | 36  0.02528 -2.08859e+01
 37  0.04415 -5.92256e+01 | 38 -0.04024 -9.33057e+01 | 39 -0.01665 -7.72007e+01
 40  0.01728 -6.00314e+01 | 41  0.02713 -6.13117e+01 | 42  0.03738 -4.87879e+01
 43  0.05191 -6.03015e+01 | 44 -0.09960 -1.77685e+02 | 45 -0.15510 -1.79009e+02
 46  0.12551  4.51167e+01 | 47 -0.03072 -1.47257e+02 | 48  0.08337 -1.16874e+02
 49  0.01363 -1.95845e+02 | 50 -0.14417 -1.68180e+02 | 51  0.07345 -6.22109e+01
 52 -0.02869 -1.05717e+02 | 53  0.00205  4.32653e+01 | 54  0.01367  1.34790e+02
 55 -0.02704  8.23828e+00 | 56  0.06070  1.47502e+02 | 57 -0.02596  1.71774e+01
 58 -0.06345 -1.85799e+01 | 59 -0.02784  7.14494e+01 | 60 -0.03966  4.56552e+01
 61 -0.06044  1.32120e+01 | 62 -0.02364  4.08931e+01 | 63  0.02602  4.57654e+01
 64  0.00166 -1.57788e+01 | 65  0.01522 -2.55565e+01 | 66 -0.00650 -6.17065e+01
 67 -0.01282 -9.11034e+01 | 68 -0.01610 -7.58512e+01 | 69  0.10670 -3.01888e+01
 70  0.18272 -4.70099e+01 | 71  0.16408 -8.51590e+01 |
71 variables; iteration 40; function evaluation 83; phase 1
Function value 2.2025663e+03; maximum gradient component mag 1.0943e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.44366  1.09434e+04 |  2  0.20727 -2.54233e+01 |  3 -0.90830 -2.97434e+01
  4  0.09631  2.55727e+01 |  5  0.22533  3.40702e+02 |  6  0.18721  2.27057e+02
  7  0.09181  4.30595e+01 |  8  0.05640  1.36089e+01 |  9 -0.04851 -4.09147e+01
 10 -0.08112 -4.73835e+01 | 11  0.03359  1.28058e+02 | 12 -0.15292 -6.13017e+01
 13 -0.01016  1.37768e+02 | 14  0.05647  4.12306e+02 | 15 -0.01064  2.33178e+02
 16 -0.01245  2.78076e+02 | 17  0.06509  7.05858e+02 | 18  0.11030  8.41126e+02
 19  0.10778  2.61877e+02 | 20  0.13723  2.65832e+02 | 21  0.12600  3.66988e+02
 22  0.08838  2.96841e+02 | 23  0.04229  1.68371e+02 | 24 -0.11070  2.89503e+00
 25  0.01486  2.61246e+02 | 26 -0.11628 -3.58250e+01 | 27 -0.07823 -3.85052e+01
 28  0.06824 -4.14924e+01 | 29 -0.15145 -1.32659e+02 | 30  0.06297 -5.49429e+01
 31 -0.18722 -1.10299e+02 | 32  0.03201  9.52855e+00 | 33 -0.01762  5.45690e+01
 34  0.00054  6.41975e+01 | 35 -0.13974 -6.51863e+01 | 36  0.01678  1.29219e+01
 37  0.08459  2.96430e+01 | 38 -0.10398 -8.55750e+01 | 39 -0.02876 -5.95093e+01
 40 -0.01560 -6.32402e+01 | 41  0.01262 -5.23437e+01 | 42  0.04143 -2.89903e+01
